#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
170	8.91581	9.056	9.24565	0.32856	0.5095	0.7087	0.32129	0.4709	0.6111	0.30538	0.52462	0.78489	9.05671	9.13198	9.22331	0.0221	0.28479	0.74827	0.02091	0.27244	0.68809	0.13176	0.48767	1.21528
24372	11.22577	11.29985	11.36789	-18.67537	-11.35687	-5.07393	-18.48547	-11.22439	-4.9674	0.51189	0.68694	1.80723	-99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
5012	9.52744	9.56442	9.58231	1.60105	1.62848	2.1609	1.43356	1.45232	1.56506	0.84567	0.89353	1.72733	9.65694	9.66598	9.67239	1.60084	1.75947	1.76948	1.46785	1.58572	1.59386	1.09984	1.34721	1.36491
21963	9.15579	9.29704	9.36568	0.77003	0.81667	1.16804	0.72997	0.76943	1.00483	0.48724	0.55085	1.08964	9.26253	9.28128	9.30816	1.16115	1.29422	1.35724	1.06413	1.15043	1.19051	1.42088	1.59149	1.6819
528	11.42698	12.02415	12.34728	-1.32923	1.95806	2.70009	-1.14327	2.01574	2.77621	1.53362	2.60365	3.17854	11.17498	11.18065	11.28452	0.25292	0.79158	0.88305	0.33796	0.86963	0.95884	0.51374	0.6078	1.06239
16697	9.82496	9.84738	9.86967	1.31781	1.39307	1.41911	1.27827	1.34105	1.36233	0.89296	0.94174	0.97655	9.77324	9.78511	9.82734	1.82218	1.87167	1.89052	1.66893	1.69869	1.71541	1.91868	1.98833	2.02899
2583	9.61859	9.64691	9.67141	1.41453	1.46612	1.52002	1.32385	1.36442	1.40307	0.92184	0.99734	1.0656	9.61244	9.64331	9.81016	0.90652	1.53641	1.66078	0.94095	1.42417	1.50972	0.90874	1.45334	1.65725
16871	9.01789	9.25446	9.51259	0.35377	0.80917	1.09451	0.35458	0.73549	1.00785	0.44106	0.99477	1.44288	8.98346	9.08012	9.15258	0.4147	0.87879	1.12718	0.3931	0.78258	0.98353	0.59794	1.16522	1.52313
15585	9.13158	9.16307	9.20295	1.16091	1.20598	1.24009	0.99261	1.0316	1.0643	0.91728	0.98994	1.05073	8.90398	9.05431	9.08322	0.97388	1.12499	1.17457	0.8087	0.95997	1.00005	0.66424	1.01212	1.08815
24408	10.07193	10.46915	10.65376	-3.97403	-0.1097	0.34394	-3.82877	-0.08534	0.36582	1.19799	1.5686	1.8353	9.76622	9.89163	9.99928	-2.10116	-0.6429	-0.18407	-1.98765	-0.60141	-0.16362	0.6497	1.02543	1.35652
